movie_ID,title,genre,running_time,netizen_ratings,num_reviews,num_article,country,rating,companyNm,released_year,released_month,num_viewers
19820019,만추,멜로/로맨스,113,7.31,5175,8692,한국,15세이상관람가,씨제이엔터테인먼트,2011,2,844103
20050082,이터널 선샤인,멜로/로맨스,107,9.11,9388,812,미국,15세이상관람가,코리아픽쳐스(주),2005,11,506609
20061214,작은 연못,드라마,86,6.51,873,393,한국,15세이상관람가,NA,2010,4,47160
20061223,소년은 울지 않는다,액션,98,5.62,266,352,한국,15세이상관람가,㈜스튜디오이쩜영,2008,11,94993
20068576,그날의 분위기,멜로/로맨스,103,6.53,3005,2953,한국,15세이상관람가,(주)쇼박스,2016,1,652453
20068590,인류멸망 보고서,SF,120,4.8,3888,1263,한국,15세이상관람가,타임스토리그룹(주),2012,4,97916
20070563,꿀벌대소동,가족,88,8.09,1291,0,미국,전체관람가,씨제이엔터테인먼트,2008,1,1240953
20070566,마법에 걸린 사랑,멜로/로맨스,106,8.99,3105,17,미국,전체관람가,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,1,431376
20070660,뜨거운 것이 좋아,드라마,114,6.84,3198,997,한국,15세이상관람가,(주)시네마서비스,2008,1,590409
20070661,기다리다 미쳐,멜로/로맨스,108,7.37,1547,225,한국,15세이상관람가,(주)시네마서비스,2008,1,422363
20070672,클로버필드,SF,85,6.99,8299,111,미국,15세이상관람가,씨제이엔터테인먼트,2008,1,562764
20070675,인디아나 존스 4 : 크리스탈 해골의 왕국,액션,121,7.42,4424,273,미국,12세이상관람가,씨제이엔터테인먼트,2008,5,4136101
20071003,P.S. 아이 러브 유,멜로/로맨스,125,8.35,1140,0,미국,15세이상관람가,(주)쇼박스,2008,1,315863
20071013,작전명 발키리,스릴러,120,8.16,4637,925,미국,12세이상관람가,이십세기폭스코리아(주),2009,1,1798205
20071014,엘라의 모험 : 해피엔딩의 위기,애니메이션,87,5.81,248,0,독일,전체관람가,(주)쇼박스,2008,1,312640
20071015,아더와 미니모이-제1탄비밀원정대의출정,어드벤처,102,8.75,2202,0,프랑스,전체관람가,롯데쇼핑㈜롯데엔터테인먼트,2015,12,128531
20071047,"대한이, 민국씨",코미디,102,6.53,673,157,한국,15세이상관람가,롯데쇼핑㈜롯데엔터테인먼트,2008,2,212854
20071060,걸스카우트,드라마,99,5.91,542,604,한국,15세이상관람가,롯데쇼핑㈜롯데엔터테인먼트,2008,6,249114
20071064,무방비도시,범죄,112,7.55,4222,526,한국,15세이상관람가,씨제이엔터테인먼트,2008,1,1613728
20071065,써티 데이즈 오브 나이트,공포(호러),112,7.39,2244,0,미국,청소년관람불가,㈜케이디미디어,2008,1,93191
20071066,말할 수 없는 비밀,멜로/로맨스,101,9.27,37887,1185,대만,12세이상관람가,(주)스폰지이엔티,2008,1,99106
20071067,슈퍼맨이었던 사나이,드라마,102,7.46,2770,887,한국,전체관람가,씨제이엔터테인먼트,2008,1,559705
20072148,GP 506,공포(호러),120,7.02,3739,136,한국,청소년관람불가,(주)쇼박스,2008,4,945185
20072152,"좋은 놈, 나쁜 놈, 이상한 놈 ",서부극(웨스턴),139,7.73,19836,2132,한국,15세이상관람가,씨제이엔터테인먼트,2008,7,6686912
20072673,흑심모녀,가족,93,6.99,337,302,한국,12세이상관람가,(주)쇼박스,2008,6,59624
20072686,모던보이,드라마,121,6.71,2527,1144,한국,12세이상관람가,씨제이엔터테인먼트,2008,10,758473
20078561,명탐정 코난:감벽의 관,애니메이션,106,8.42,567,25,일본,12세이상관람가,씨제이이앤엠(주),2018,2,242166
20080009,스위니 토드 : 어느 잔혹한 이발사 이야기,뮤지컬,116,7.31,3986,197,미국,청소년관람불가,워너브러더스 코리아(주),2008,1,704058
20080010,에이리언 VS 프레데터2 ,SF,93,5.79,1810,0,미국,15세이상관람가,이십세기폭스필름코퍼레이션,2008,1,291685
20080011,원스어폰어타임,액션,110,7.99,4665,0,한국,12세이상관람가,(유)씨에이치엔터테인먼트,2008,1,1562486
20080013,명장,액션,126,7.77,1634,255,중국,청소년관람불가,미디어소프트,2008,1,385841
20080017,에반게리온 : 서(序),애니메이션,98,8.19,1194,0,일본,12세이상관람가,(주)태원엔터테인먼트,2008,1,74242
20080021,찰리윌슨의 전쟁,코미디,97,5.56,332,33,미국,15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),2008,2,173263
20080024,오퍼나지 - 비밀의 계단,드라마,104,8,1816,100,스페인,15세이상관람가,(주)유레카픽쳐스 ,2008,2,175588
20080032,밴티지 포인트,스릴러,90,7.81,3120,22,미국,15세이상관람가,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,2,1015287
20080038,스파이더위크가의 비밀,어드벤처,95,8.56,1540,0,미국,전체관람가,씨제이엔터테인먼트,2008,2,682525
20080046,추격자,범죄,123,9.09,16759,7129,한국,청소년관람불가,(주)쇼박스,2008,2,5071619
20080047,점퍼,SF,88,6.88,4396,24,미국,15세이상관람가,이십세기폭스필름코퍼레이션,2008,2,1685405
20080054,주노,드라마,95,7.96,1172,17,미국,12세이상관람가,(주)미로비젼,2008,2,69011
20080062,데스노트 L: 새로운 시작,스릴러,128,7.07,2913,18,일본,15세이상관람가,(유)씨에이치엔터테인먼트,2008,2,358046
20080071,노인을 위한 나라는 없다,스릴러,122,8.21,3488,100,미국,청소년관람불가,씨제이엔터테인먼트,2008,2,64078
20080078,람보 4 : 라스트 블러드,액션,91,7.99,1058,45,미국,청소년관람불가,(주)스튜디오이쩜영,2008,2,108473
20080079,사랑보다 황금,멜로/로맨스,112,6.5,202,13,미국,12세이상관람가,워너브러더스 코리아(주),2008,2,64310
20080105,집결호,액션,124,7.01,939,1133,중국,12세이상관람가,(주)시네마서비스,2008,3,72582
20080142,마이 뉴 파트너,액션,110,7.51,1083,386,한국,15세이상관람가,(주)엠플러스픽쳐스,2008,3,265323
20080145,마이 블루베리 나이츠,멜로/로맨스,94,7.67,814,129,홍콩,12세이상관람가,(주)쇼박스,2008,3,152314
20080146,허밍,멜로/로맨스,96,7.29,660,307,한국,12세이상관람가,롯데쇼핑㈜롯데엔터테인먼트,2008,3,104850
20080148,"10,000 BC",어드벤처,109,5.41,2441,49,미국,15세이상관람가,워너브러더스 코리아(주),2008,3,1140118
20080226,숙명,드라마,123,4.19,3025,705,한국,청소년관람불가,씨제이엔터테인먼트,2008,3,858215
20080230,천일의 스캔들,사극,115,8.16,1188,44,미국,15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),2008,3,700095
20080236,나의 특별한 사랑이야기,코미디,111,8.31,701,0,미국,15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),2008,4,186234
20080254,어웨이크,스릴러,84,6.95,1845,14,미국,15세이상관람가,(주)프라임엔터테인먼트,2008,3,502807
20080258,댄 인 러브,코미디,98,8.23,684,22,미국,12세이상관람가,씨제이엔터테인먼트,2008,3,179680
